StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts,Location
2021-05-18 02:01:45.286115,0.135646,tcp,85.119.151.250,56102,   ->,167.71.64.32,8080,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:46.747364,0.038528,tcp,45.134.26.37,59270,   ->,167.99.141.164,64597,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:01:50.347991,0.086216,tcp,45.134.26.53,59541,   ->,167.99.141.164,39031,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:01:52.614930,0.041881,tcp,89.248.165.104,59324,   ->,167.71.64.32,9992,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:01:53.785603,2.6e-05,tcp,139.59.117.191,61953,   ->,167.99.141.164,2300,S_RA,0,0,2,110,56,1,Frankfurt
2021-05-18 02:01:54.370262,0.011862,tcp,45.143.203.15,54137,   ->,159.65.26.180,7055,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:01:55.693219,0.063171,tcp,185.153.197.52,59654,   ->,159.65.26.180,50042,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:02:00.724663,0.048823,tcp,45.134.26.41,59336,   ->,159.65.26.180,55486,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:02:00.813917,2.5e-05,tcp,105.186.216.109,18173,   ->,159.65.26.180,445,S_RA,20,20,2,120,66,1,London
2021-05-18 02:02:01.271231,0.055465,tcp,185.191.34.205,55527,   ->,167.71.64.32,7396,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:02:01.532133,2.3e-05,tcp,105.186.216.109,57312,   ->,159.65.26.180,445,S_RA,20,20,2,120,66,1,London
2021-05-18 02:02:07.230184,0.015935,tcp,92.63.197.53,54961,   ->,167.99.141.164,7659,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:02:16.944054,0.051931,tcp,45.146.164.50,8080,   ->,159.65.26.180,43186,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:02:17.228587,3.1e-05,tcp,92.118.161.13,53990,   ->,167.71.64.32,8443,S_RA,0,0,2,112,58,1,Amsterdam
2021-05-18 02:02:22.046992,2.5e-05,tcp,106.75.123.221,58914,   ->,159.65.26.180,50070,S_RA,0,0,2,112,58,1,London
2021-05-18 02:02:22.118045,0.010632,tcp,45.143.203.17,54570,   ->,167.99.141.164,7567,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:02:22.251555,0.010909,tcp,89.248.165.204,44109,   ->,167.71.64.32,6447,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:02:23.322669,2.6e-05,tcp,46.148.20.13,60000,   ->,167.71.64.32,22224,S_RA,40,40,2,110,56,1,Amsterdam
2021-05-18 02:02:29.158348,2.8e-05,tcp,45.95.169.107,57402,   ->,167.99.141.164,83,S_RA,0,0,2,110,56,1,Frankfurt
2021-05-18 02:02:36.864085,2.5e-05,tcp,139.59.30.76,61953,   ->,159.65.26.180,8053,S_RA,32,32,2,110,56,1,London
2021-05-18 02:02:40.661417,0.155395,tcp,64.227.118.85,55989,   ->,167.71.64.32,1985,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:02:41.070238,0.018962,tcp,92.63.197.61,55929,   ->,167.99.141.164,8386,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:02:45.008650,0.055014,tcp,45.146.164.64,8080,   ->,159.65.26.180,3856,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:02:45.750495,0.048478,tcp,92.63.196.13,48849,   ->,167.71.64.32,51595,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:02:47.763792,0.247191,tcp,45.119.80.23,55469,   ->,167.71.64.32,1987,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:02:51.978260,0.096966,tcp,92.63.196.13,48849,   ->,159.65.26.180,30300,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:02:52.664135,0.023274,tcp,89.248.165.199,45013,   ->,167.99.141.164,2464,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:02:52.787184,2.7e-05,tcp,161.35.54.153,61953,   ->,167.71.64.32,8183,S_RA,0,0,2,110,56,1,Amsterdam
2021-05-18 02:02:54.442517,0.309894,tcp,39.153.246.234,56008,   ->,167.99.141.164,55,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:02:59.154698,0.103954,tcp,85.119.151.252,56177,   ->,167.99.141.164,3128,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:03:00.168603,0.048507,tcp,85.119.151.252,56177,   ->,167.99.141.164,2169,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:03:00.254590,0.140278,tcp,85.119.151.252,56177,   ->,167.99.141.164,8080,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:03:04.281749,2.6e-05,tcp,159.75.231.221,41665,   ->,167.99.141.164,5358,S_RA,0,0,2,110,56,1,Frankfurt
2021-05-18 02:03:05.076790,3.4e-05,tcp,143.137.206.243,60787,   ->,167.71.64.32,445,S_RA,0,0,2,120,66,1,Amsterdam
2021-05-18 02:03:07.375876,0.049984,tcp,45.134.26.34,59221,   ->,167.71.64.32,40051,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:03:08.062076,0.06013,tcp,45.145.67.74,59172,   ->,167.71.64.32,8518,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:03:11.333100,0.046155,tcp,45.134.26.37,59270,   ->,167.71.64.32,29538,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:03:14.926173,0.048609,tcp,45.134.26.41,59336,   ->,159.65.26.180,44222,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:03:19.679746,0.04533,tcp,185.153.199.145,59670,   ->,167.99.141.164,7454,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:03:22.372323,2.5e-05,tcp,167.248.133.93,22707,   ->,167.99.141.164,15502,S_RA,0,0,2,112,58,1,Frankfurt
2021-05-18 02:03:23.802957,0.765879,tcp,14.166.36.57,52070,   ->,167.99.141.164,445,S_RA,0,0,4,240,132,2,Frankfurt
2021-05-18 02:03:27.500487,0.68556,tcp,161.132.206.154,61096,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2,London
2021-05-18 02:03:28.700358,2.6e-05,tcp,111.7.96.147,58066,   ->,159.65.26.180,8670,S_RA,0,0,2,120,66,1,London
2021-05-18 02:03:29.380525,3e-05,tcp,45.148.10.50,45838,   ->,159.65.26.180,80,S_RA,0,0,2,110,56,1,London
2021-05-18 02:03:29.675979,0.032579,tcp,89.248.165.204,44109,   ->,159.65.26.180,6459,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:03:35.595986,0.025794,tcp,78.128.113.250,57176,   ->,167.99.141.164,2132,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:03:38.712398,2.6e-05,tcp,159.89.180.2,61953,   ->,167.99.141.164,9201,S_RA,0,0,2,110,56,1,Frankfurt
2021-05-18 02:03:41.809088,3.6e-05,tcp,121.5.66.217,41459,   ->,167.71.64.32,17438,S_RA,96,96,2,110,56,1,Amsterdam
2021-05-18 02:03:48.005968,0.059395,tcp,45.134.26.35,59237,   ->,159.65.26.180,10525,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:03:50.267587,0.011565,tcp,45.143.203.15,54137,   ->,159.65.26.180,7185,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:03:57.927824,3.4e-05,tcp,167.248.133.93,41502,   ->,167.71.64.32,53483,S_RA,0,0,2,112,58,1,Amsterdam
2021-05-18 02:03:58.921830,0.050529,tcp,45.134.26.33,59196,   ->,159.65.26.180,8562,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:04:03.471856,2.6e-05,tcp,80.82.77.33,24858,   ->,167.99.141.164,32764,S_RA,0,0,2,112,58,1,Frankfurt
2021-05-18 02:04:05.967501,0.037217,tcp,45.155.205.80,51425,   ->,167.99.141.164,13172,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:04:09.466450,2.8e-05,tcp,178.62.201.183,61953,   ->,159.65.26.180,8042,S_RA,0,0,2,110,56,1,London
2021-05-18 02:04:09.637038,0.04685,tcp,193.27.228.59,41528,   ->,167.71.64.32,7370,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:04:16.054779,0.01726,tcp,92.63.197.53,54961,   ->,159.65.26.180,7774,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:04:24.122406,2.6e-05,tcp,159.65.65.188,50134,   ->,159.65.26.180,8852,S_RA,0,0,2,110,56,1,London
2021-05-18 02:04:29.249646,2.3e-05,tcp,162.142.125.171,64241,   ->,167.99.141.164,31225,S_RA,0,0,2,112,58,1,Frankfurt
2021-05-18 02:04:30.469326,2.4e-05,tcp,167.71.0.98,8972,   ->,159.65.26.180,22,S_RA,0,0,2,116,62,1,London
2021-05-18 02:04:31.869407,0.770815,tcp,14.99.104.162,60583,   ->,159.65.26.180,445,S_RA,32,32,4,240,132,2,London
2021-05-18 02:04:38.680976,0.049348,tcp,45.134.26.48,59457,   ->,167.71.64.32,44104,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:04:40.473656,0.049352,tcp,45.134.26.37,59270,   ->,167.71.64.32,64597,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:04:48.809042,0.080239,tcp,193.242.145.15,58330,   ->,167.71.64.32,33033,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:04:49.891349,0.050841,tcp,45.146.164.64,8080,   ->,167.71.64.32,6155,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:04:50.516362,0.05639,tcp,45.134.26.55,59575,   ->,167.71.64.32,37697,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:04:51.524808,0.04519,tcp,45.134.26.35,59237,   ->,167.71.64.32,4341,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:04:55.684506,3.2e-05,tcp,66.240.205.34,18081,   ->,159.65.26.180,14344,S_RA,16,16,2,112,58,1,London
2021-05-18 02:04:57.372174,0.044726,tcp,185.191.34.212,51877,   ->,167.99.141.164,7454,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:04:59.174124,0.113082,tcp,91.223.67.180,59639,   ->,167.99.141.164,10556,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:04:59.489894,2.4e-05,tcp,74.120.14.86,46315,   ->,159.65.26.180,9888,S_RA,32,32,2,112,58,1,London
2021-05-18 02:05:01.297858,3.1e-05,tcp,167.172.142.109,61953,   ->,167.71.64.32,8040,S_RA,0,0,2,110,56,1,Amsterdam
2021-05-18 02:05:02.028250,0.061355,tcp,185.191.34.206,54566,   ->,159.65.26.180,7412,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:05:07.845560,3.6e-05,tcp,167.248.133.89,44062,   ->,167.71.64.32,9446,S_RA,0,0,2,112,58,1,Amsterdam
2021-05-18 02:05:13.066272,3.3e-05,tcp,46.101.142.73,61953,   ->,167.99.141.164,8002,S_RA,0,0,2,110,56,1,Frankfurt
2021-05-18 02:05:13.150291,0.007253,tcp,89.248.165.200,40274,   ->,167.71.64.32,3398,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:05:14.841672,2.6e-05,tcp,87.13.16.107,14495,   ->,167.99.141.164,23,S_RA,0,0,2,112,58,1,Frankfurt
2021-05-18 02:05:20.502632,2.6e-05,tcp,81.68.93.5,44745,   ->,167.71.64.32,15849,S_RA,104,104,2,110,56,1,Amsterdam
2021-05-18 02:05:23.044594,2.7e-05,tcp,185.173.35.33,59925,   ->,167.71.64.32,2443,S_RA,64,64,2,112,58,1,Amsterdam
2021-05-18 02:05:23.703148,0.049605,tcp,45.146.164.54,8080,   ->,159.65.26.180,8532,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:05:26.177613,2.4e-05,tcp,167.248.133.66,55475,   ->,159.65.26.180,8580,S_RA,0,0,2,112,58,1,London
2021-05-18 02:05:26.889819,0.122381,tcp,64.227.118.85,55989,   ->,167.99.141.164,1985,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:05:26.926758,0.733861,tcp,45.155.205.127,51418,   ->,167.71.64.32,14707,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:05:38.147538,0.054646,tcp,45.155.205.99,58906,   ->,159.65.26.180,48763,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:05:39.911830,3.4e-05,tcp,165.227.52.239,50115,   ->,159.65.26.180,49500,S_RA,0,0,2,110,56,1,London
2021-05-18 02:05:39.966770,3.4e-05,icmp,13.36.37.251,-1,  <->,159.65.26.180,-1,ECO,40,40,2,196,98,1,London
2021-05-18 02:05:41.261760,3.5e-05,icmp,13.36.37.251,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:05:42.371217,2.7e-05,icmp,52.47.175.200,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:05:43.516930,3.2e-05,icmp,15.236.142.22,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:05:43.737016,3.3e-05,icmp,49.235.76.69,-1,  <->,159.65.26.180,-1,ECO,0,0,2,164,82,1,London
2021-05-18 02:05:44.674617,0.751812,tcp,122.52.112.114,57103,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2,London
2021-05-18 02:05:47.177434,3.1e-05,tcp,150.158.178.63,42622,   ->,167.99.141.164,15309,S_RA,104,104,2,110,56,1,Frankfurt
2021-05-18 02:05:47.681231,0.778829,tcp,36.154.108.244,22721,   ->,167.99.141.164,1433,S_RA,0,0,4,240,132,2,Frankfurt
2021-05-18 02:05:54.853318,0.014541,tcp,92.63.197.58,55556,   ->,159.65.26.180,8064,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:05:54.970666,2.7e-05,icmp,15.188.52.221,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:05:55.341955,0.049315,tcp,45.134.26.38,59289,   ->,159.65.26.180,47116,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:05:55.539422,3e-05,icmp,35.180.190.89,-1,  <->,159.65.26.180,-1,ECO,0,0,2,196,98,1,London
2021-05-18 02:05:58.265624,0.015073,tcp,92.63.197.53,54961,   ->,159.65.26.180,7798,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:06:00.620545,0.068309,tcp,45.134.26.45,59404,   ->,159.65.26.180,46999,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:06:05.792308,2.8e-05,tcp,190.205.17.212,59774,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1,London
2021-05-18 02:06:09.623804,3.4e-05,tcp,89.248.168.51,59030,   ->,159.65.26.180,88,S_RA,0,0,2,110,56,1,London
2021-05-18 02:06:15.287297,0.038206,tcp,45.134.26.51,59508,   ->,167.99.141.164,38715,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:06:15.554199,4.3e-05,tcp,192.241.215.188,39172,   ->,167.71.64.32,25,S_RA,0,0,2,110,56,1,Amsterdam
2021-05-18 02:06:18.533985,0.717091,tcp,190.220.17.10,59680,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2,London
2021-05-18 02:06:19.411075,0.037869,tcp,45.146.165.216,59121,   ->,167.99.141.164,8431,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:06:20.699722,0.013634,tcp,92.63.197.86,56335,   ->,167.99.141.164,8634,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:06:20.716968,0.051535,tcp,45.134.26.41,59336,   ->,159.65.26.180,10354,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:06:21.775025,2.8e-05,tcp,159.89.145.255,50122,   ->,167.71.64.32,8787,S_RA,0,0,2,110,56,1,Amsterdam
2021-05-18 02:06:31.569495,0.05705,tcp,45.134.26.53,59541,   ->,159.65.26.180,9039,SR_RA,0,0,3,166,112,2,London
2021-05-18 02:06:34.017198,3.8e-05,tcp,120.92.89.30,45877,   ->,167.99.141.164,8470,S_RA,0,0,2,110,56,1,Frankfurt
2021-05-18 02:06:38.762380,3.6e-05,tcp,162.142.125.169,18224,   ->,167.99.141.164,25478,S_RA,0,0,2,112,58,1,Frankfurt
2021-05-18 02:06:43.861188,2.8e-05,tcp,74.120.14.94,57027,   ->,167.99.141.164,30021,S_RA,32,32,2,112,58,1,Frankfurt
2021-05-18 02:06:46.415227,3e-05,tcp,120.79.31.82,56278,   ->,159.65.26.180,6379,S_RA,0,0,2,110,56,1,London
2021-05-18 02:06:47.383051,0.779141,tcp,124.105.89.195,53692,   ->,167.99.141.164,445,S_RA,0,0,4,240,132,2,Frankfurt
2021-05-18 02:06:50.165915,2.6e-05,tcp,222.137.120.34,51129,   ->,167.99.141.164,52869,S_RA,0,0,2,128,74,1,Frankfurt
2021-05-18 02:06:57.694486,0.046756,tcp,45.146.164.50,8080,   ->,167.71.64.32,20048,SR_RA,0,0,3,166,112,2,Amsterdam
2021-05-18 02:07:04.752591,0.059861,tcp,45.146.164.149,57127,   ->,167.99.141.164,9254,SR_RA,0,0,3,166,112,2,Frankfurt
2021-05-18 02:07:05.050169,3.3e-05,tcp,102.83.152.142,57898,   ->,167.99.141.164,554,S_RA,72,72,2,132,78,1,Frankfurt
2021-05-18 02:07:09.206905,3.5e-05,tcp,8.136.195.135,56388,   ->,167.71.64.32,2376,S_RA,0,0,2,110,56,1,Amsterdam
2021-05-18 02:07:12.444534,2.7e-05,tcp,64.62.197.219,56658,   ->,167.99.141.164,8443,S_RA,0,0,2,110,56,1,Frankfurt
