SrcAddr,total_flows,total_bytes,total_pkts,total_src_bytes,total_src_pkts,avg_bytes_per_flow,avg_pkts_per_flow,avg_duration,median_duration,n_unique_dports,n_unique_sports,n_unique_dstaddr,n_unique_proto,port_scan_ratio,dst_diversity_ratio,entropy_dport,entropy_dstaddr,entropy_proto,first_seen,last_seen,active_duration_seconds,n_active_hours,flows_per_active_hour,location_mode,bytes_per_pkt,src_bytes_ratio,src_pkts_ratio,total_flows_log1p,total_bytes_log1p,total_pkts_log1p,total_src_bytes_log1p,total_src_pkts_log1p,avg_bytes_per_flow_log1p,avg_pkts_per_flow_log1p,active_duration_seconds_log1p,flows_per_active_hour_log1p,bytes_per_pkt_log1p,iforest_score,iforest_label,hdbscan_cluster,hdbscan_score,hdbscan_label,knn_score,copod_score,lof_score,ensemble_score,anomaly_label_final
1.116.224.160,1,128,2,74,1,128.0,2.0,2.6e-05,2.6e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 13:49:51.132894,2021-05-18 13:49:51.132894,0.0,1,1.0,London,64.0,0.578125,0.5,0.6931471805599453,4.859812404361672,1.0986122886681096,4.31748811353631,0.6931471805599453,4.859812404361672,1.0986122886681096,0.0,0.6931471805599453,4.174387269895637,-0.14165345025904708,0,23,0.0,0,0.0,15.058641992671786,1.0,0.00993208219485359,0
1.116.244.240,2,332,6,224,4,166.0,3.0,0.27776,0.27776,2,2,1,1,1.0,0.5,1.0,-0.0,-0.0,2021-05-18 20:32:01.157348,2021-05-18 20:46:26.238261,865.080913,1,2.0,London,55.333333333333336,0.6746987951807228,0.6666666666666666,1.0986122886681096,5.808142489980444,1.9459101490553132,5.41610040220442,1.6094379124341003,5.117993812416755,1.3862943611198906,6.7639783372232465,1.0986122886681096,4.0312864262549635,-0.015891136116497173,0,15,0.0,0,0.6152463330525206,38.63501460342647,0.9811423708733618,0.10220739890186396,0
1.116.69.183,1,166,3,112,2,166.0,3.0,0.333431,0.333431,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 21:44:13.716866,2021-05-18 21:44:13.716866,0.0,1,1.0,London,55.333333333333336,0.6746987951807228,0.6666666666666666,0.6931471805599453,5.117993812416755,1.3862943611198906,4.727387818712341,1.0986122886681096,5.117993812416755,1.3862943611198906,0.0,0.6931471805599453,4.0312864262549635,-0.07658842309763941,0,2,0.0,0,0.0004069913825392459,19.862238011075377,1.0018761885763399,0.04665060172244959,0
1.116.78.93,1,110,2,56,1,110.0,2.0,2.6e-05,2.6e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 13:09:23.452417,2021-05-18 13:09:23.452417,0.0,1,1.0,London,55.0,0.509090909090909,0.5,0.6931471805599453,4.709530201312334,1.0986122886681096,4.04305126783455,0.6931471805599453,4.709530201312334,1.0986122886681096,0.0,0.6931471805599453,4.02535169073515,-0.1536556544058572,0,41,0.0,0,0.0,13.04425073875296,1.0,0.0015538232830748394,0
1.116.91.164,1,112,2,58,1,112.0,2.0,2.4e-05,2.4e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 07:14:28.997056,2021-05-18 07:14:28.997056,0.0,1,1.0,London,56.0,0.5178571428571429,0.5,0.6931471805599453,4.727387818712341,1.0986122886681096,4.07753744390572,0.6931471805599453,4.727387818712341,1.0986122886681096,0.0,0.6931471805599453,4.04305126783455,-0.13594638928602087,0,37,0.0,0,0.0,14.699870315825219,0.901351342531106,0.01204294627893949,0
1.117.87.230,2,332,6,224,4,166.0,3.0,0.2574415,0.2574415,2,2,1,1,1.0,0.5,1.0,-0.0,-0.0,2021-05-18 13:45:33.228446,2021-05-18 13:56:29.109745,655.881299,1,2.0,London,55.333333333333336,0.6746987951807228,0.6666666666666666,1.0986122886681096,5.808142489980444,1.9459101490553132,5.41610040220442,1.6094379124341003,5.117993812416755,1.3862943611198906,6.48750333092872,1.0986122886681096,4.0312864262549635,-0.01671885465352191,0,15,0.0,0,0.5607561927736716,38.5855950074137,0.9805355546117159,0.10167072828491,0
1.117.93.46,1,128,2,74,1,128.0,2.0,3.4e-05,3.4e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 04:38:44.436166,2021-05-18 04:38:44.436166,0.0,1,1.0,London,64.0,0.578125,0.5,0.6931471805599453,4.859812404361672,1.0986122886681096,4.31748811353631,0.6931471805599453,4.859812404361672,1.0986122886681096,0.0,0.6931471805599453,4.174387269895637,-0.13557731293143954,0,24,0.0,0,0.0,14.438796122698433,1.0,0.01184106107400852,0
1.13.14.227,1,128,2,74,1,128.0,2.0,2.3e-05,2.3e-05,1,1,1,1,1.0,1.0,-0.0,-0.0,-0.0,2021-05-18 18:46:41.722038,2021-05-18 18:46:41.722038,0.0,1,1.0,London,64.0,0.578125,0.5,0.6931471805599453,4.859812404361672,1.0986122886681096,4.31748811353631,0.6931471805599453,4.859812404361672,1.0986122886681096,0.0,0.6931471805599453,4.174387269895637,-0.13590537491569882,0,30,0.0,0,0.0,17.720609840119437,1.0,0.016359060330661722,0
1.15.233.157,2,220,4,112,2,110.0,2.0,2.7e-05,2.7e-05,1,1,2,1,0.5,1.0,-0.0,1.0,-0.0,2021-05-18 06:03:08.072172,2021-05-18 15:12:07.083901,32939.011729,2,1.0,London,55.0,0.509090909090909,0.5,1.0986122886681096,5.3981627015177525,1.6094379124341003,4.727387818712341,1.0986122886681096,4.709530201312334,1.0986122886681096,10.402443359803213,0.6931471805599453,4.02535169073515,-0.08761254800475249,0,68,0.44092814939102126,0,0.1862375383941492,22.401000503137496,1.2282228865668583,0.13367846709713951,0
1.15.246.188,2,276,5,168,3,138.0,2.5,0.2215765,0.2215765,2,2,2,1,1.0,1.0,1.0,1.0,-0.0,2021-05-18 03:45:40.047262,2021-05-18 04:04:41.804489,1141.757227,2,1.0,Amsterdam,55.2,0.6086956521739131,0.6,1.0986122886681096,5.6240175061873385,1.791759469228055,5.1298987149230735,1.3862943611198906,4.9344739331306915,1.252762968495368,7.0411992414097515,0.6931471805599453,4.028916756899646,-0.0075020683089619955,0,-1,0.04946907144995369,0,2.400881093921905,36.17350697751357,1.2154403590268807,0.1152772291518606,0
