StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/05/18 02:00:00.000000,289.816803,udp,51.91.154.181,500,   ->,167.71.64.32,500,REQ,0,,97,42098,42098,97
2021/05/18 02:00:00.000000,2063.160156,arp,167.71.64.1,,  who,167.71.64.32,,CON,,,4,204,120,2
2021/05/18 02:43:22.877987,1.337801,tcp,121.52.154.98,53295,   ->,167.71.64.32,1433,S_RA,0,0,4,232,124,2
2021/05/18 02:00:17.191192,0.052693,tcp,185.191.34.204,55106,   ->,167.71.64.32,7402,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:17.993975,0.304693,tcp,39.153.246.234,56008,   ->,167.71.64.32,55,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:19.376924,0.001680,tcp,45.143.203.3,51216,   ->,167.71.64.32,2122,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:41.230687,0.000027,tcp,167.248.133.79,48993,   ->,167.71.64.32,5003,S_RA,0,0,2,112,58,1
2021/05/18 02:00:56.259353,1.379195,tcp,202.152.137.112,55244,   ->,167.71.64.32,1433,S_RA,0,0,6,356,194,3
2021/05/18 02:01:14.085646,0.065020,tcp,185.191.34.207,51318,   ->,167.71.64.32,33426,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:34.415378,1.179248,tcp,3.235.247.43,58969,   ->,167.71.64.32,80,SEC_RA,0,0,6,360,198,3
2021/05/18 02:01:36.923021,0.000034,udp,37.49.230.238,44433,   ->,167.71.64.32,30718,INT,0,,1,56,56,1
2021/05/18 02:01:37.849307,0.061336,tcp,45.134.26.38,59289,   ->,167.71.64.32,45457,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:39.882511,0.000029,tcp,45.55.32.34,42468,   ->,167.71.64.32,29018,S_RA,0,0,2,110,56,1
2021/05/18 02:01:44.065939,0.052389,tcp,85.119.151.250,56102,   ->,167.71.64.32,3128,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:44.209813,0.114878,tcp,85.119.151.250,56102,   ->,167.71.64.32,1080,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:44.469640,0.056514,tcp,85.119.151.250,56102,   ->,167.71.64.32,2169,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:45.286115,0.135646,tcp,85.119.151.250,56102,   ->,167.71.64.32,8080,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:48.614386,0.000034,udp,146.88.240.4,42097,   ->,167.71.64.32,3283,INT,0,,1,56,56,1
2021/05/18 02:01:52.614930,0.041881,tcp,89.248.165.104,59324,   ->,167.71.64.32,9992,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:01.271231,0.055465,tcp,185.191.34.205,55527,   ->,167.71.64.32,7396,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:17.053040,0.000000,tcp,120.26.116.84,54926,   ->,167.71.64.32,5432,S_,0,,1,56,56,1
2021/05/18 02:02:17.228587,0.000031,tcp,92.118.161.13,53990,   ->,167.71.64.32,8443,S_RA,0,0,2,112,58,1
