StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/05/18 02:00:10.172229,0.000038,udp,71.6.199.23,26865,   ->,167.99.141.164,3702,INT,16,,1,824,824,1
2021/05/18 02:00:19.608837,0.000037,tcp,74.120.14.90,1933,   ->,167.99.141.164,48888,S_RA,32,32,2,112,58,1
2021/05/18 02:00:30.910301,31.598255,udp,209.216.92.196,10016,   ->,167.99.141.164,5060,INT,40,,11,6688,6688,11
2021/05/18 02:00:37.111994,0.020399,tcp,89.248.165.199,45013,   ->,167.99.141.164,2463,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:37.976497,0.049146,tcp,185.191.34.212,51877,   ->,167.99.141.164,7453,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:38.055552,0.040491,tcp,45.155.205.79,51432,   ->,167.99.141.164,6731,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:44.388402,0.033816,tcp,45.134.26.50,59491,   ->,167.99.141.164,4140,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:51.903670,0.044647,tcp,45.146.164.137,54987,   ->,167.99.141.164,7407,SR_RA,0,0,3,166,112,2
2021/05/18 02:00:56.845523,0.040626,tcp,45.146.164.152,8080,   ->,167.99.141.164,37158,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:22.346828,0.041650,tcp,45.134.26.37,59270,   ->,167.99.141.164,62480,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:36.291360,0.000044,tcp,185.142.236.38,26200,   ->,167.99.141.164,3554,S_RA,0,0,2,112,58,1
2021/05/18 02:01:42.465701,0.066288,tcp,194.26.29.166,47014,   ->,167.99.141.164,3021,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:46.747364,0.038528,tcp,45.134.26.37,59270,   ->,167.99.141.164,64597,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:50.347991,0.086216,tcp,45.134.26.53,59541,   ->,167.99.141.164,39031,SR_RA,0,0,3,166,112,2
2021/05/18 02:01:53.785603,0.000026,tcp,139.59.117.191,61953,   ->,167.99.141.164,2300,S_RA,0,0,2,110,56,1
2021/05/18 02:02:07.230184,0.015935,tcp,92.63.197.53,54961,   ->,167.99.141.164,7659,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:22.118045,0.010632,tcp,45.143.203.17,54570,   ->,167.99.141.164,7567,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:29.158348,0.000028,tcp,45.95.169.107,57402,   ->,167.99.141.164,83,S_RA,0,0,2,110,56,1
2021/05/18 02:02:41.070238,0.018962,tcp,92.63.197.61,55929,   ->,167.99.141.164,8386,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:52.664135,0.023274,tcp,89.248.165.199,45013,   ->,167.99.141.164,2464,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:54.442517,0.309894,tcp,39.153.246.234,56008,   ->,167.99.141.164,55,SR_RA,0,0,3,166,112,2
2021/05/18 02:02:59.154698,0.103954,tcp,85.119.151.252,56177,   ->,167.99.141.164,3128,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:00.168603,0.048507,tcp,85.119.151.252,56177,   ->,167.99.141.164,2169,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:00.254590,0.140278,tcp,85.119.151.252,56177,   ->,167.99.141.164,8080,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:04.281749,0.000026,tcp,159.75.231.221,41665,   ->,167.99.141.164,5358,S_RA,0,0,2,110,56,1
2021/05/18 02:03:19.679746,0.045330,tcp,185.153.199.145,59670,   ->,167.99.141.164,7454,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:22.372323,0.000025,tcp,167.248.133.93,22707,   ->,167.99.141.164,15502,S_RA,0,0,2,112,58,1
2021/05/18 02:03:23.802957,0.765879,tcp,14.166.36.57,52070,   ->,167.99.141.164,445,S_RA,0,0,4,240,132,2
2021/05/18 02:03:35.595986,0.025794,tcp,78.128.113.250,57176,   ->,167.99.141.164,2132,SR_RA,0,0,3,166,112,2
2021/05/18 02:03:38.712398,0.000026,tcp,159.89.180.2,61953,   ->,167.99.141.164,9201,S_RA,0,0,2,110,56,1
2021/05/18 02:03:55.269313,31.541882,udp,45.83.91.148,11055,   ->,167.99.141.164,5060,INT,0,,11,6688,6688,11
2021/05/18 02:04:03.471856,0.000026,tcp,80.82.77.33,24858,   ->,167.99.141.164,32764,S_RA,0,0,2,112,58,1
