StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,SrcPkts
2021/05/18 02:04:55.684506,0.000032,tcp,66.240.205.34,18081,   ->,159.65.26.180,14344,S_RA,16,16,2,112,58,1
2021/05/18 02:04:59.489894,0.000024,tcp,74.120.14.86,46315,   ->,159.65.26.180,9888,S_RA,32,32,2,112,58,1
2021/05/18 02:05:02.028250,0.061355,tcp,185.191.34.206,54566,   ->,159.65.26.180,7412,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:23.703148,0.049605,tcp,45.146.164.54,8080,   ->,159.65.26.180,8532,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:24.118455,0.000039,udp,146.88.240.4,48213,   ->,159.65.26.180,3283,INT,0,,1,56,56,1
2021/05/18 02:05:26.177613,0.000024,tcp,167.248.133.66,55475,   ->,159.65.26.180,8580,S_RA,0,0,2,112,58,1
2021/05/18 02:05:38.147538,0.054646,tcp,45.155.205.99,58906,   ->,159.65.26.180,48763,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:39.911830,0.000034,tcp,165.227.52.239,50115,   ->,159.65.26.180,49500,S_RA,0,0,2,110,56,1
2021/05/18 02:05:39.966770,0.000034,icmp,13.36.37.251,0x0008,  <->,159.65.26.180,0x1400,ECO,40,40,2,196,98,1
2021/05/18 02:05:41.261760,0.000035,icmp,13.36.37.251,0x0008,  <->,159.65.26.180,0x0300,ECO,0,0,2,196,98,1
2021/05/18 02:05:42.371217,0.000027,icmp,52.47.175.200,0x0008,  <->,159.65.26.180,0x0200,ECO,0,0,2,196,98,1
2021/05/18 02:05:43.516930,0.000032,icmp,15.236.142.22,0x0008,  <->,159.65.26.180,0x0b00,ECO,0,0,2,196,98,1
2021/05/18 02:05:43.737016,0.000033,icmp,49.235.76.69,0x0008,  <->,159.65.26.180,0x0910,ECO,0,0,2,164,82,1
2021/05/18 02:05:44.674617,0.751812,tcp,122.52.112.114,57103,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:05:54.853318,0.014541,tcp,92.63.197.58,55556,   ->,159.65.26.180,8064,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:54.970666,0.000027,icmp,15.188.52.221,0x0008,  <->,159.65.26.180,0x0c00,ECO,0,0,2,196,98,1
2021/05/18 02:05:55.341955,0.049315,tcp,45.134.26.38,59289,   ->,159.65.26.180,47116,SR_RA,0,0,3,166,112,2
2021/05/18 02:05:55.539422,0.000030,icmp,35.180.190.89,0x0008,  <->,159.65.26.180,0x0500,ECO,0,0,2,196,98,1
2021/05/18 02:05:58.265624,0.015073,tcp,92.63.197.53,54961,   ->,159.65.26.180,7798,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:00.620545,0.068309,tcp,45.134.26.45,59404,   ->,159.65.26.180,46999,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:05.792308,0.000028,tcp,190.205.17.212,59774,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/05/18 02:06:09.623804,0.000034,tcp,89.248.168.51,59030,   ->,159.65.26.180,88,S_RA,0,0,2,110,56,1
2021/05/18 02:06:18.533985,0.717091,tcp,190.220.17.10,59680,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:06:20.716968,0.051535,tcp,45.134.26.41,59336,   ->,159.65.26.180,10354,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:31.569495,0.057050,tcp,45.134.26.53,59541,   ->,159.65.26.180,9039,SR_RA,0,0,3,166,112,2
2021/05/18 02:06:46.415227,0.000030,tcp,120.79.31.82,56278,   ->,159.65.26.180,6379,S_RA,0,0,2,110,56,1
2021/05/18 02:07:13.621169,0.766411,tcp,189.2.86.98,61553,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:07:18.872809,0.000035,tcp,192.241.220.59,42505,   ->,159.65.26.180,25,S_RA,0,0,2,110,56,1
2021/05/18 02:07:20.770685,0.010713,tcp,92.63.197.83,56108,   ->,159.65.26.180,8539,SR_RA,0,0,3,166,112,2
2021/05/18 02:07:21.584822,0.055110,tcp,45.134.26.47,59438,   ->,159.65.26.180,33330,SR_RA,0,0,3,166,112,2
2021/05/18 02:07:24.272606,0.052908,tcp,87.251.70.87,53306,   ->,159.65.26.180,10443,SR_RA,0,0,3,166,112,2
2021/05/18 02:07:36.834741,0.000023,tcp,162.142.125.172,45589,   ->,159.65.26.180,9987,S_RA,0,0,2,112,58,1
2021/05/18 02:07:42.045174,0.053204,tcp,45.134.26.42,59352,   ->,159.65.26.180,35009,SR_RA,0,0,3,166,112,2
2021/05/18 02:07:58.114928,0.000030,tcp,181.115.239.250,34529,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/05/18 02:07:58.847726,0.000024,tcp,181.115.239.250,27395,   ->,159.65.26.180,445,S_RA,0,0,2,120,66,1
2021/05/18 02:08:10.980905,0.000023,tcp,89.248.165.202,60649,   ->,159.65.26.180,58005,S_RA,0,0,2,110,56,1
2021/05/18 02:08:17.071310,0.009703,tcp,45.143.203.17,54570,   ->,159.65.26.180,7596,SR_RA,0,0,3,166,112,2
2021/05/18 02:08:26.870200,0.057399,tcp,45.134.26.45,59404,   ->,159.65.26.180,51621,SR_RA,0,0,3,166,112,2
2021/05/18 02:09:02.069320,0.056182,tcp,45.134.26.55,59575,   ->,159.65.26.180,45050,SR_RA,0,0,3,166,112,2
2021/05/18 02:09:14.714693,0.044224,tcp,194.48.199.78,54606,   ->,159.65.26.180,9068,SR_RA,0,0,3,166,112,2
2021/05/18 02:09:22.863724,0.195040,tcp,13.94.0.149,47429,   ->,159.65.26.180,8080,SR_RA,0,0,3,166,112,2
2021/05/18 02:09:26.237504,0.000027,tcp,74.82.47.47,45077,   ->,159.65.26.180,8443,S_RA,0,0,2,110,56,1
2021/05/18 02:09:26.968687,0.000026,tcp,125.77.25.123,49295,   ->,159.65.26.180,1962,S_RA,0,0,2,110,56,1
2021/05/18 02:09:29.718319,0.057864,tcp,45.134.26.35,59237,   ->,159.65.26.180,3472,SR_RA,0,0,3,166,112,2
2021/05/18 02:09:46.216347,0.409642,tcp,101.132.113.119,56409,   ->,159.65.26.180,8088,SR_RA,0,0,3,166,112,2
2021/05/18 02:09:47.433912,0.000035,tcp,74.120.14.87,53346,   ->,159.65.26.180,9710,S_RA,32,32,2,112,58,1
2021/05/18 02:09:52.303550,0.054980,tcp,45.155.205.223,56186,   ->,159.65.26.180,7390,SR_RA,0,0,3,166,112,2
2021/05/18 02:10:08.103179,0.054564,tcp,45.134.26.48,59457,   ->,159.65.26.180,44104,SR_RA,0,0,3,166,112,2
2021/05/18 02:10:08.730304,0.059461,tcp,45.134.26.53,59541,   ->,159.65.26.180,25912,SR_RA,0,0,3,166,112,2
2021/05/18 02:10:14.127262,0.097572,tcp,194.26.29.166,47014,   ->,159.65.26.180,3016,SR_RA,0,0,3,166,112,2
2021/05/18 02:10:25.982660,0.203701,tcp,195.54.161.151,51453,   ->,159.65.26.180,32545,SR_RA,0,0,3,166,112,2
2021/05/18 02:10:27.394368,1.561829,tcp,49.235.76.69,52215,   ->,159.65.26.180,2975,S_RA,0,0,6,356,194,3
2021/05/18 02:10:27.424972,1.530887,tcp,49.235.76.69,52216,   ->,159.65.26.180,8080,S_RA,0,0,6,356,194,3
2021/05/18 02:10:27.470903,1.593039,tcp,49.235.76.69,52217,   ->,159.65.26.180,4145,S_RA,96,96,6,356,194,3
2021/05/18 02:10:27.488491,1.562067,tcp,49.235.76.69,52218,   ->,159.65.26.180,4153,S_RA,0,0,6,356,194,3
2021/05/18 02:11:46.367226,0.056687,tcp,45.134.26.41,59336,   ->,159.65.26.180,22775,SR_RA,0,0,3,166,112,2
2021/05/18 02:11:47.201342,0.051233,tcp,45.146.164.149,57127,   ->,159.65.26.180,9372,SR_RA,0,0,3,166,112,2
2021/05/18 02:12:02.299564,0.717038,tcp,187.95.27.88,50566,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:12:03.201819,0.028362,tcp,89.248.165.204,44109,   ->,159.65.26.180,6442,SR_RA,0,0,3,166,112,2
2021/05/18 02:12:03.584492,0.737475,tcp,1.55.48.235,37402,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:12:05.078910,0.050991,tcp,45.134.26.35,59237,   ->,159.65.26.180,45232,SR_RA,0,0,3,166,112,2
2021/05/18 02:12:13.674009,0.011679,tcp,92.63.197.86,56335,   ->,159.65.26.180,8643,SR_RA,0,0,3,166,112,2
2021/05/18 02:12:24.132868,0.000040,udp,188.166.232.88,4000,   ->,159.65.26.180,1027,INT,0,,1,90,90,1
2021/05/18 02:12:38.325982,0.605141,tcp,85.175.141.31,56950,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:12:38.571895,0.000034,tcp,206.166.251.147,49070,   ->,159.65.26.180,8080,S_RA,0,0,2,110,56,1
2021/05/18 02:12:38.922232,0.102319,tcp,45.134.26.46,59420,   ->,159.65.26.180,31529,SR_RA,0,0,3,166,112,2
2021/05/18 02:12:40.731188,0.688991,tcp,183.88.228.168,61915,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:12:50.259119,0.010617,tcp,92.63.197.55,55209,   ->,159.65.26.180,7867,SR_RA,0,0,3,166,112,2
2021/05/18 02:12:54.465798,0.060107,tcp,45.134.26.50,59491,   ->,159.65.26.180,41864,SR_RA,0,0,3,166,112,2
2021/05/18 02:12:55.002214,0.000031,tcp,80.82.77.240,64344,   ->,159.65.26.180,2377,S_RA,0,0,2,110,56,1
2021/05/18 02:13:06.644754,0.000031,tcp,92.118.161.53,54327,   ->,159.65.26.180,873,S_RA,0,0,2,112,58,1
2021/05/18 02:13:09.807154,0.587520,tcp,45.146.36.115,50172,   ->,159.65.26.180,445,S_RA,0,0,4,240,132,2
2021/05/18 02:13:19.271411,0.593131,tcp,192.99.222.103,60839,   ->,159.65.26.180,445,S_RA,20,20,4,240,132,2
2021/05/18 02:13:22.306663,0.000025,tcp,92.118.160.5,50056,   ->,159.65.26.180,2525,S_RA,0,0,2,112,58,1
